time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-01-23T20:52:44.700Z,38.8435,-122.81,0,1.1,Md,,50.4,0.01796631,0.08,nc,nc72145490,2014-01-23T20:54:24.356Z,"7km WNW of Cobb, California",earthquake
2014-01-23T20:20:06.000Z,60.3069,-141.2084,0.2,2.2,ml,12,190.799984736001,0.6602617,0.73,ak,ak11143568,2014-01-23T20:27:01.398Z,"72km ENE of Cape Yakataga, Alaska",earthquake
2014-01-23T20:08:49.050Z,34.3385,-116.8513333,0.01,1.27,ml,6,102,0.02192,0.03,ci,ci11416922,2014-01-23T20:20:27.909Z,"8km N of Big Bear City, California",quarry_blast
2014-01-23T20:00:15.000Z,62.2921,-149.8174,10.3,1.9,ml,20,53.9999956800003,0.2039176,0.68,ak,ak11143557,2014-01-23T20:08:08.238Z,"14km N of Y, Alaska",earthquake
2014-01-23T19:54:59.530Z,18.0644,119.9132,13.28,5,mb,,101,6.851,0.94,us,usb000m6u0,2014-01-23T20:59:04.000Z,"58km WNW of Pagsanahan Norte, Philippines",earthquake
2014-01-23T19:47:10.800Z,46.874,-122.2818,0,0.7,Md,,205.2,0.11678099,0.12,uw,uw60674612,2014-01-23T20:18:50.870Z,"1km WNW of Eatonville, Washington",quarry
2014-01-23T19:41:16.800Z,40.5612,-122.2578,14,2,Md,,176.4,0.09881468,0.02,nc,nc72145465,2014-01-23T21:05:05.523Z,"1km W of Palo Cedro, California",earthquake
2014-01-23T19:40:15.500Z,37.6583,-118.891,2.5,0.8,Md,,147.6,0.00898315,0.04,nc,nc72145460,2014-01-23T19:54:07.869Z,"7km E of Mammoth Lakes, California",earthquake
2014-01-23T19:33:55.820Z,33.2606667,-115.6901667,0.53,1.17,ml,9,151,0.09231,0.09,ci,ci11416914,2014-01-23T19:59:37.767Z,"16km W of Niland, California",earthquake
2014-01-23T19:29:09.200Z,19.121,-66.846,31,3.2,Md,20,226.8,0.69619435,0.34,pr,pr14023004,2014-01-23T20:18:20.628Z,"70km N of Hatillo, Puerto Rico",earthquake
2014-01-23T19:25:43.180Z,11.4762,125.1386,103.77,4.4,mb,,143,10.338,0.34,us,usb000m6t8,2014-01-23T20:35:05.999Z,"7km NNW of Mabini, Philippines",earthquake
2014-01-23T19:19:46.200Z,37.3182,-122.105,0.1,1.6,Md,,147.6,0.05389892,0.17,nc,nc72145455,2014-01-23T19:54:07.868Z,"3km S of Loyola, California",earthquake
